,EMPATHY,0
0,0.0,14.161211
1,1.0,12.643223
2,1.333333333,14.450463
3,0.0,10.040398
4,1.333333333,14.785723
5,1.333333333,13.67049
6,1.666666667,11.328178
7,0.0,14.0456505
8,2.0,16.857708
9,0.0,13.727932
10,1.666666667,15.706739
11,3.0,14.779427
12,1.333333333,14.714489
13,4.0,19.433807
14,0.0,11.705602
15,1.333333333,16.262384
16,1.67,11.796706
17,1.67,14.8451395
18,2.0,13.197769
19,0.0,11.041761
20,0.0,13.049572
21,2.0,14.644165
22,0.0,12.065037
23,0.0,13.426786
24,0.0,13.041688
25,2.333333333,15.445774
26,4.0,20.670883
27,0.0,12.679332
28,2.666666667,19.539797
29,1.666666667,12.743576
30,1.333333333,13.905372
31,1.333333333,13.061922
32,0.0,11.975527
33,2.666666667,14.0737095
34,4.0,19.38577
35,1.333333333,13.8454275
36,0.0,14.496117
37,0.666666667,12.488034
38,0.0,11.967799
39,0.0,11.959424
40,4.0,16.655804
41,0.0,14.438481
42,0.33,11.812357
43,0.0,9.666694
44,0.33,13.539329
45,2.0,13.770543
46,2.666666667,17.105461
47,2.0,11.362453
48,0.0,9.270196
49,1.33,13.284083
50,1.333333333,15.671885
