,SOMAT,0
0,53.13888889,44.06729
1,40.15151515,41.884415
2,42.72727273,42.456215
3,45.0,42.88117
4,37.0,42.217335
5,40.15151515,39.667736
6,35.0,43.336388
7,62.0,49.927807
8,38.0,43.55543
9,42.0,46.738148
10,59.33333333,44.405056
11,56.0,50.1423
12,35.0,38.460567
13,47.0,45.711246
14,37.0,41.068684
15,37.36111111,44.52971
16,37.57575758,44.121
17,56.0,49.742393
18,48.0,44.932575
19,71.0,45.39586
20,37.36111111,41.966522
21,44.0,46.21645
22,45.0,44.12224
23,35.0,48.965855
24,97.0,43.913185
25,38.0,41.77813
26,58.0,49.28638
27,42.0,41.396755
28,37.57575758,45.90674
29,40.0,44.623272
30,35.0,42.105263
31,35.0,41.05259
32,50.0,50.369583
33,55.0,45.14437
34,51.0,46.78452
35,42.72727273,39.609653
36,37.0,50.656876
37,58.0,48.891293
38,37.57575758,44.637108
39,50.0,43.79993
40,39.30555556,40.33573
41,37.0,41.035057
42,38.0,37.66605
43,53.0,49.11564
44,37.57575758,43.284443
45,37.36111111,39.287064
46,35.0,43.559155
47,53.0,46.010803
48,56.0,43.91343
49,41.61111111,38.110733
50,40.0,43.317616
51,43.0,40.44086
52,50.0,50.423664
53,56.0,45.651417
54,35.0,39.524998
