,IDENTITY,0
0,0.67,0.0
1,0.666666667,0.53886485
2,1.333333333,0.0
3,0.67,0.0
4,2.0,0.0
5,0.33,0.0
6,2.666666667,3.3207295
7,1.666666667,1.6663425
8,0.0,0.0
9,0.333333333,0.0
10,1.333333333,3.4076116
11,0.666666667,0.0
12,3.0,5.4659433
13,1.0,1.4505126
14,2.666666667,5.4350147
15,0.0,0.72348666
16,0.33,0.0
17,1.333333333,2.8895175
18,0.666666667,0.0
19,0.33,0.0
20,2.666666667,6.427324
21,0.333333333,0.0
22,1.333333333,1.7604163
23,0.0,0.0
24,3.333333333,8.460961
25,0.0,1.8889077
26,0.0,0.0
27,2.666666667,1.2236307
28,2.0,1.1302965
29,1.0,0.0
30,0.666666667,0.20426153
31,0.666666667,0.0
32,1.666666667,3.6328292
33,0.0,1.2847383
34,1.333333333,0.0
35,0.0,0.0
36,0.67,0.0
37,0.67,2.1552017
38,0.333333333,2.512096
39,0.666666667,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,1.0,0.0
44,0.333333333,0.0
45,0.0,0.0
46,1.666666667,2.6438794
47,1.333333333,1.0006979
48,0.333333333,0.0
49,1.666666667,0.0
50,1.333333333,0.0
51,2.666666667,3.8237076
