,CHRONIC,0
0,2.82,21.478376
1,2.35,16.933857
2,1.529411765,17.388596
3,2.12,13.285743
4,2.941176471,21.825205
5,2.058823529,12.623898
6,3.0,19.35447
7,1.235294118,17.528057
8,3.117647059,20.025879
9,1.941176471,18.103073
10,2.588235294,17.166447
11,2.941176471,18.021828
12,2.647058824,20.92145
13,2.352941176,17.170952
14,2.0,19.763819
15,2.882352941,17.81198
16,2.0,15.223371
17,2.823529412,19.5243
18,2.176470588,18.790974
19,2.117647059,19.733093
20,1.294117647,13.24197
21,1.529411765,12.249319
22,2.0,19.10458
23,1.882352941,17.957527
24,1.882352941,16.66822
25,2.647058824,15.164679
26,2.352941176,14.249651
27,2.352941176,13.48446
28,2.59,19.122261
29,2.529411765,17.556366
30,1.47,14.018105
31,1.647058824,11.6951
32,2.470588235,17.491386
33,2.88,18.954674
34,2.117647059,16.196177
35,2.705882353,14.340827
36,1.352941176,14.51153
37,1.823529412,17.367659
38,2.411764706,16.10308
39,2.24,18.18297
40,2.94,19.036762
41,1.705882353,14.312176
42,2.41,13.865511
43,2.941176471,15.832038
44,2.294117647,18.771774
45,1.94,16.41101
46,2.65,14.613804
47,2.294117647,15.632222
48,2.823529412,20.338966
49,1.882352941,12.776396
50,3.058823529,17.629349
51,2.35,16.911446
52,1.176470588,15.966592
