,SOMAT,0
0,35.0,45.279312
1,35.0,40.165398
2,68.0,53.323933
3,59.0,43.873543
4,38.0,39.9225
5,40.0,38.403576
6,40.0,40.884693
7,37.0,39.890633
8,49.0,49.02482
9,108.0,46.65017
10,49.16666667,43.26101
11,40.15151515,40.738903
12,38.0,43.364742
13,38.0,45.01301
14,45.3030303,45.135845
15,50.0,50.154694
16,56.0,48.462185
17,45.0,44.960552
18,41.61111111,43.08903
19,85.0,44.077324
20,84.0,47.92687
21,60.75757576,49.446796
22,38.0,48.44071
23,53.0,46.44209
24,40.0,41.4592
25,62.0,42.85532
26,48.52777778,48.01381
27,35.0,43.16898
28,58.18181818,43.04158
29,35.0,44.330433
30,42.72727273,44.31935
31,43.0,45.122215
32,50.0,44.9451
33,50.45454545,51.019672
34,42.72727273,42.876556
35,50.0,46.503292
36,36.0,37.952374
37,87.0,45.972374
38,35.0,47.263176
39,35.0,47.116997
40,50.45454545,44.671326
41,80.0,40.85579
42,35.0,44.866955
43,35.0,37.970306
44,35.0,38.846725
45,38.0,37.434376
46,53.0,41.40617
47,35.0,44.427597
48,68.0,44.73385
49,58.18181818,44.06677
50,40.0,41.075333
51,35.0,39.601406
52,55.60606061,49.406113
53,76.0,44.011494
54,38.0,44.609516
